lab_no	CINSARC
4591-08	-0.4588326845613443
4613-09	0.6425948419267795
4675-07	-0.30300109047731927
469-03	-0.6479942434968672
469-06	-0.7166122130902277
4696-18	0.5502951382800059
4697-17	-0.6977348962575665
47-94	-0.7903077804573935
4716-22	-0.5202376771075887
4748-20	-0.7104621482508368
4840-13	-0.6253544505972911
4849-16	0.7145508220365077
4876-16	-0.19374287829565284
4894-19	0.5272850184159761
491-94	0.6104722055415237
4934-17	0.6010349155767527
498-95	0.400904889303375
4985-07	-0.5589785172417377
499-20	-0.7668414859048154
5022-20	0.5632768673560208
5047-19	-0.18861200093088004
5056-07	0.6623309129382559
5061-16	0.7883742332788637
5061-18	0.6716384722336263
5077-16	0.7556257021271674
5081-14	-0.6155793572301821
5081-17	-0.7179462663361899
5133-07	-0.7502882740251599
5139-20	-0.7601501472225544
5149-18	-0.471893347391274
5184-19	0.6787066995235286
5196-08	0.8138459953597728
520-05B	-0.7336782657134764
522-89	-0.8206944282313094
5241-06	-0.5076354719421112
5270-18	-0.5580504688434196
5279-11	0.6737847227269204
53-17	-0.10188181660230267
5306-20	0.603471575547255
5323-09	-0.8136615700413832
5333-17	-0.4386513686747442
534-90	-0.6602080617073657
5357-20	-0.5965802489219558
536-00	-0.2007542539052209
5367-18	-0.19843332908408742
5373-10	-0.25933461967424837
5376-13	-0.6216530644929026
541-94	-0.6951857050638921
5413-09	0.34437105607395846
5525-22	-0.7639493632674863
553-03	-0.5775232053657292
5530-18	0.10236425160940044
5534-07	0.009220127896792663
5552-17	-0.20278347359921958
5567-14	0.6339413203458252
5607-06	-0.46144158074276853
5608-15	-0.5584209881376497
5670-08	-0.7404067146765663
5689-08	-0.4474050734210107
5702-19	-0.4156657280896296
5706-19	-0.5163716815537068
5715-15	0.5895602084288926
5728-15	0.7376133610675634
574-03	0.60746317263584
574-11	0.5473580831951083
5740-16	0.7646083817865016
5796-11	-0.6261812327290117
5818-16	0.3196362600571533
5830-18	0.7218697210282553
5846-17	0.6480561058640292
5852-16	0.5061368121606242
5908-19	-0.6943349503575342
591-10	0.37090151048162723
5972-16	-0.6632599104998406
6034-09	0.4295457961059381
6045-09	-0.7903482215851927
6061-11	0.7938449565382242
6063-16	0.6016021177587516
610-14	-0.38878670370877055
612-05	-0.41293616751818857
612-12	0.7528485455313645
6146-12	-0.4974228379513063
6158-13	-0.1117189143699173
6159-13	-0.02958833128151564
616-91	-0.39677644725381833
6161-13	0.002884515317392089
6163-16	-0.6103473614526178
618-16	0.5778516540200405
6192-11	-0.3961066199113426
6197-20	-0.9011241592506442
6227-18	-0.6022173478543841
623-19	0.6724431863866732
6238-16	0.5324918146342008
6246-13	-0.21353298933791703
626-01	-0.3754616352804513
631-91	0.4078624594501226
6335-12	-0.5000248644201469
6345-10	0.8341525590915504
6360-14	0.7701146262283958
6376-16	-0.06938249896845758
6377-17	0.5352158077638642
6387-14	-0.4327367795225697
6388-14	-0.6721832061680953
6389-14	0.30777596008786967
64-93	0.5029616432182966
647-09	-0.5584208472506347
650-90	0.41084865078060345
6529-12	0.6730780835982295
6545-13	-0.7120002763624863
6559-18	0.5786694492094704
6596-18	0.4967093077486464
6621-15	0.29054192625224856
6626-12	-0.4842990519880108
664-18	-0.6067801601979311
665-16	0.8693079839026434
6689-15	0.4003773506992123
669-17	-0.4526407854996958
669-96	-0.7375900360362517
67-23	-0.5145922453831353
670-17	0.6111758312911384
6742-18	-0.20796330638510813
677-00	0.6179353490235054
679-07	0.6603133076841592
6792-15	-0.559082366857039
6797-15	0.7526548341909125
68-98	0.7809729704267785
6825-14	-0.5360752740773465
6879-11	-0.7270323694553021
689-01	0.42864283463521646
6891-14	-0.005632340410243672
6892-14	0.054332323296451296
6893-14	0.35068896227548907
6894-14	-0.6288786948095701
690-09	-0.6342265653936798
6902-14	-0.6596968194938828
6969-14	-0.7577659384772065
7016-16	0.001135921517093047
704-90	-0.5885372720937753
7051-18	-0.529125750283771
7052-18	-0.6366914720637581
7064-17	-0.5747770085852972
7084-14	0.09254086728843217
710-89	-0.5258564638607032
7160-17	-0.5053011242909524
727-90	-0.39442783443251367
7321-19	-0.8195350075422886
7334-16	0.5902386721508335
7352-18	-0.23845368775563447
7368-16	0.10742231864989385
7402-18	-0.7871057207339562
7405-17	-0.7803869865567027
7416-16	0.1348859782241477
742-85	0.7409162592834607
743-10	-0.3804746417929432
753-03	-0.30758262144078796
753-92	-0.775354751730423
763-01	-0.5829551895190065
7685-14	-0.470619583980494
7708-16	0.5345357675223983
775-01	-0.22263289079451648
7756-18	0.12162951089006582
7766-16	-0.12426375566892944
7871-16	-0.5794689719254592
789-00	-0.3191836662073841
790-14	0.6102177465489693
7931-19	-0.5899384421456234
7933-17	0.6896156564706443
7936-17	-0.5759550624358039
795-03	0.5766152945832086
7965-19	0.47600293044449976
805-90	-0.11163310650186058
8058-15	0.4850377863171575
807-15	0.7793826372849334
8081-17	-0.6369030833749083
81-05	0.6935883282456263
8102-16	-0.6694147326313014
8102-22	-0.5540038793069645
8110-19	-0.4805202375361088
8113-19	0.37577535723249655
8146-16	0.694855026308084
815-10	-0.7029702934102408
816-11	0.3269886772337514
8221-19	0.657147132404766
823-05	-0.028720889915836767
8230-17	-0.5855336846611796
8231-17	-0.5758871959264558
825-95	0.10130480028622951
8269-18	-0.845519657584534
827-03	0.6857067613867913
83-91	0.36505965368168725
8318-19	0.5865903158687048
8345-18	-0.6254449810954922
8346-18	0.22978424118324212
8422-14	-0.16546978232699902
8422-20	0.4917654751573177
8486-18	0.49606732940291454
8509-16	0.43125455870492774
851-00	-0.6460403060819917
8525-19	0.7241916304386761
8530-17	-0.7644713223427932
8533-16	0.7848296616901385
8567-16	-0.7419042230113673
861-20	-0.11473474216573007
8705-17	0.7054978471187644
8707-17	-0.6914083699208883
871-13	0.5285492550817816
8729-18	-0.6871983599061481
8751-16	-0.6886367140896145
8754-18	-0.5617394886940423
8791-19	-0.49894625024054473
8792-17	-0.6916014018618185
8820-18	-0.6452974791408077
891-93	0.6718380082253397
894-97	-0.31722378072303714
896-99	0.683506937280404
9044-15	-0.6827938619114988
9111-16	0.8176409268683801
9241-18	0.7637861998487158
9306-17	-0.581076192686858
9323-17	0.4449493706396317
9327-20	-0.599846116682108
9328-17	-0.6883037959804608
935-01	0.5384372627407781
935-93	0.5777637744213867
9374-17	-0.022281034458711657
9384-16	-0.5976957160991054
9518-18	0.24854430027432406
9562-17	-0.7275674969709466
9598-18	0.2582394109472165
964-94	0.7332118887531726
9664-19	-0.6069011828806761
9752-16	0.051925240249166144
977-89	-0.6150813703818413
9841-19	-0.1447105356977599
985-19	-0.5392963181186591
986-13	-0.26572690932029075
