lab_no,shape,hex
10819-17,B,#D4924D
4697-17,B,#D4924D
10656-17,B,#D4924D
5081-17,B,#D4924D
5139-20,B,#D4924D
1894-19,B,#D4924D
2605-19,B,#785B0D
4696-18,B,#785B0D
4011-20,B,#785B0D
5184-19,B,#785B0D
3317-20,B,#785B0D
5022-20,B,#785B0D
2390-03,B,#785B0D
2283-04,B,#785B0D
323-95,B,#785B0D
1414-00,B,#785B0D
5333-17,A,#785B0D
11622-18,A,#785B0D
9327-20,C,#785B0D
2971-01,C,#785B0D
4184-00,C,#785B0D
1792-07,C,#785B0D
763-01,C,#785B0D
5846-17,C,#785B0D
1970-05,C,#785B0D
861-20,C,#785B0D
6061-11,C,#785B0D
4392-12,C,#785B0D
423-04,C,#785B0D
10081-19,C,#785B0D
650-90,A,#82305C
3666-20,A,#82305C
232-03,A,#82305C
3810-19,A,#82305C
3377-19,A,#82305C
1195-97,A,#82305C
3532-91,A,#82305C
4675-07,A,#82305C
4113-04,A,#82305C
3491-02,A,#82305C
5552-17,A,#82305C
2367-90,A,#82305C
3511-18,A,#82305C
2146-18,A,#82305C
4052-19,A,#82305C
2150-02,A,#82305C
4318-10,A,#82305C
10136-17,A,#82305C
753-92,A,#82305C
353-06,A,#82305C
8269-18,B,#82305C
2640-98,B,#82305C
6197-20,B,#82305C
10639-17,B,#82305C
1824-93,B,#82305C
2818-92,B,#82305C
1731-18,B,#82305C
1201-03,B,#82305C
9328-17,C,#82305C
1744-03,C,#82305C
10051-19,C,#82305C
3675-18,C,#82305C
2285-20,C,#82305C
3521-97,C,#82305C
3674-18,C,#82305C
434-94,C,#82305C
3186-04,C,#82305C
8707-17,C,#82305C
3168-18,C,#82305C
3892-18,C,#82305C
4101-00,C,#82305C
123-01,A,#C6435E
2114-04,A,#C6435E
825-95,A,#C6435E
2532-04,A,#C6435E
64-93,A,#C6435E
1089-95,A,#C6435E
986-13,A,#C6435E
442-14,B,#C6435E
775-01,B,#C6435E
2322-90,B,#C6435E
5702-19,B,#C6435E
6345-10,B,#C6435E
6360-14,B,#C6435E
3372-16,B,#C6435E
807-15,B,#C6435E
4613-09,B,#C6435E
3651-03,B,#C6435E
2748-21,B,#C6435E
491-94,C,#C6435E
3370-22,C,#C6435E
4096-04,A,#DE8992
8486-18,A,#DE8992
2535-14,A,#883820
2137-02,A,#883820
447-15,A,#883820
3063-16,A,#883820
3150-99,A,#883820
1179-01,B,#DE8992
1701-91,B,#DE8992
2587-03,B,#DE8992
5818-16,B,#DE8992
1306-94,B,#DE8992
1558-97,B,#DE8992
498-95,B,#DE8992
1114-96,B,#DE8992
216-05,B,#DE8992
8113-19,B,#DE8992
11234-19,B,#DE8992
935-01,B,#DE8992
1141-06,B,#DE8992
380-91,B,#DE8992
2130-99,B,#DE8992
387-01,B,#DE8992
2119-03,B,#DE8992
29-89,B,#DE8992
4320-18,B,#DE8992
2283-03,B,#DE8992
8146-16,B,#DE8992
3586-98,B,#DE8992
192-92,B,#DE8992
447-99,B,#DE8992
10252-19,B,#DE8992
1586-94,B,#DE8992
446-05,B,#DE8992
2429-17,B,#DE8992
1835-93,B,#DE8992
2422-17,B,#DE8992
4191-12,B,#DE8992
4934-17,B,#DE8992
9598-18,B,#DE8992
2465-18,B,#DE8992
3239-05,B,#DE8992
3334-00,B,#DE8992
3734-17,B,#DE8992
8422-20,B,#DE8992
3347-19,B,#DE8992
10458-19,B,#DE8992
4591-08,B,#00758B
4356-08,B,#00758B
690-09,B,#00758B
9752-16,B,#00758B
8792-17,B,#00758B
8081-17,B,#00758B
3727-99,B,#D0603C
3971-00,B,#D0603C
3678-00,B,#D0603C
1027-97,B,#D0603C
2368-17,B,#D0603C
124-93,B,#D0603C
553-03,B,#D0603C
1111-06,B,#D0603C
3049-17,B,#D0603C
704-90,B,#D0603C
6376-16,B,#D0603C
6742-18,B,#D0603C
1647-98,A,#FF1493
795-03,A,#FF1493
8533-16,A,#FF1493
3167-20,A,#FF1493
3223-20,A,#FF1493
3168-20,A,#FF1493
3221-20,A,#FF1493
3222-20,A,#FF1493
8102-22,B,#FF1493
5149-18,B,#FF1493
536-00,B,#FF1493
5081-14,B,#FF1493
4840-13,B,#FF1493
168-97,B,#FF1493
104-92,B,#FF1493
5241-06,B,#FF1493
7931-19,B,#FF1493
11881-19,B,#FF1493
3371-22,B,#FF1493
3372-22,B,#FF1493
4716-22,B,#FF1493
1359-89,C,#994DB1
3239-96,C,#994DB1
1879-92,A,#DA58AF
11888-19,A,#DA58AF
2828-93,A,#DA58AF
8751-16,A,#DA58AF
499-20,A,#DA58AF
541-94,A,#DA58AF
2062-95,A,#DA58AF
3165-91,A,#DA58AF
47-94,A,#DA58AF
1388-09,B,#DA58AF
3992-12,B,#DA58AF
3024-11,B,#DA58AF
3995-12,B,#DA58AF
3037-12,B,#DA58AF
4985-07,B,#DA58AF
5534-07,B,#DA58AF
4272-20,B,#DA58AF
5373-10,C,#DA58AF
416-14,C,#DA58AF
68-98,A,#B992D9
894-97,A,#B992D9
2810-92,A,#B992D9
742-85,B,#B992D9
3047-97,B,#B992D9
11604-19,B,#B992D9
2033-19,B,#B992D9
1798-17,B,#B992D9
6621-15,B,#B992D9
2978-96,C,#B992D9
2757-14,C,#B992D9
1257-99,C,#B992D9
3386-01,A,#4B3989
5357-20,A,#4B3989
2430-90,B,#4B3989
1139-03,B,#4B3989
231-14,B,#4B3989
591-10,B,#4B3989
3234-92,B,#4B3989
4530-08,B,#4B3989
3014-94,B,#4B3989
2991-93,B,#4B3989
3874-14,B,#4B3989
2926-99,B,#4B3989
3827-99,B,#4B3989
5279-11,B,#4B3989
823-05,B,#4B3989
6246-13,B,#4B3989
2915-92,B,#4B3989
1148-14,B,#4B3989
1145-08,B,#4B3989
4111-04,B,#4B3989
3673-07,B,#4B3989
1118-98,C,#D0603C
4098-00,C,#D0603C
3527-15,B,#883820
6626-12,B,#883820
3861-07,B,#883820
6902-14,B,#883820
11092-19,C,#883820
12159-20,C,#883820
1713-91,C,#883820
9518-18,C,#883820
1558-06,C,#883820
2449-13,C,#883820
3112-92,C,#883820
3632-99,C,#883820
2950-10,C,#883820
2186-93,C,#883820
4150-18,C,#883820
